Unix Timestamp,Date,day of week,Symbol,Open,High,Low,Close,Volume,R
1640000000000.0,2021-11-25 04:00:00,3,BTCUSD,57756.25,59476.65,57051.76,59039.76,508.155795,0.02197954658909093
1640000000000.0,2021-11-24 04:00:00,2,BTCUSD,56423.5,58276.58,55899.0,57756.25,1105.156982,0.02334583026498408
1640000000000.0,2021-11-23 04:00:00,1,BTCUSD,56975.38,57882.26,55384.0,56423.5,1584.777182,-0.009733506312203146
1640000000000.0,2021-11-22 04:00:00,0,BTCUSD,57440.38,59581.52,55648.53,56975.38,1430.308036,-0.008128295615538999
1640000000000.0,2021-11-21 04:00:00,6,BTCUSD,58741.06,60061.89,57049.07,57440.38,649.5856736,-0.022391430915469357
1640000000000.0,2021-11-20 04:00:00,5,BTCUSD,58596.83,59886.11,57442.0,58741.06,777.7949993,0.002458371675831613
1640000000000.0,2021-11-19 04:00:00,4,BTCUSD,55911.16,59042.0,55856.95,58596.83,1483.11626,0.046916597103164495
1640000000000.0,2021-11-18 04:00:00,3,BTCUSD,59885.21,60106.3,53760.0,55911.16,3999.420932,-0.06866556066109243
1640000000000.0,2021-11-17 04:00:00,2,BTCUSD,59050.45,60976.25,58434.8,59885.21,1794.835456,0.014037399839745853
1640000000000.0,2021-11-16 04:00:00,1,BTCUSD,60944.13,61558.53,58573.0,59050.45,2725.200365,-0.03156537956498371
1640000000000.0,2021-11-15 04:00:00,0,BTCUSD,65744.18,66340.74,60503.0,60944.13,1790.800894,-0.0758136071899619
1640000000000.0,2021-11-14 04:00:00,6,BTCUSD,64673.28,66200.0,63602.2,65744.18,528.4997249,0.016423016822301045
1640000000000.0,2021-11-13 04:00:00,5,BTCUSD,63805.12,65338.87,63409.49,64673.28,310.0065388,0.01351469529291448
1640000000000.0,2021-11-12 04:00:00,4,BTCUSD,64857.63,65071.49,62875.0,63805.12,1466.288269,-0.01636112205652151
1640000000000.0,2021-11-11 04:00:00,3,BTCUSD,64785.34,65587.0,64121.0,64857.63,1050.512138,0.0011152167756154966
1640000000000.0,2021-11-10 04:00:00,2,BTCUSD,66491.25,69000.0,62927.97,64785.34,2966.578623,-0.025991016861743443
1640000000000.0,2021-11-09 04:00:00,1,BTCUSD,68525.75,68529.52,66262.48,66491.25,1229.455106,-0.030139226982400052
1640000000000.0,2021-11-08 04:00:00,0,BTCUSD,65235.2,68534.11,65138.0,68525.75,1421.07585,0.049210386487669074
1640000000000.0,2021-11-07 04:00:00,6,BTCUSD,62199.69,65680.0,61537.32,65235.2,892.8235258,0.04764918474201736
1640000000000.0,2021-11-06 04:00:00,5,BTCUSD,61172.03,62338.16,60120.0,62199.69,758.383379,0.016659956903674073
1640000000000.0,2021-11-05 04:00:00,4,BTCUSD,62249.6,64000.0,60777.3,61172.03,1043.914728,-0.017462050715150404
1640000000000.0,2021-11-04 04:00:00,3,BTCUSD,62469.83,62858.83,60724.16,62249.6,1036.528464,-0.003531610574187951
1640000000000.0,2021-11-03 04:00:00,2,BTCUSD,63257.57,63547.54,60110.0,62469.83,1448.486915,-0.01253108404501325
1640000000000.0,2021-11-02 04:00:00,1,BTCUSD,61133.24,64319.0,61124.5,63257.57,1791.903727,0.034159059805030124
1640000000000.0,2021-11-01 04:00:00,0,BTCUSD,59947.01,62490.0,59490.18,61133.24,1488.557124,0.0195947391015493
1640000000000.0,2021-10-31 04:00:00,6,BTCUSD,61719.1,61768.0,59731.57,59947.01,975.6503578,-0.029132440071509304
1640000000000.0,2021-10-30 04:00:00,5,BTCUSD,61669.43,62487.97,60696.52,61719.1,1116.811788,0.0008050991884405995
1640000000000.0,2021-10-29 04:00:00,4,BTCUSD,61706.36,62978.0,60367.0,61669.43,1737.129172,-0.0005986587985042048
1640000000000.0,2021-10-28 04:00:00,3,BTCUSD,58884.7,62508.87,57500.0,61706.36,2789.7925,0.04680571041108543
1640000000000.0,2021-10-27 04:00:00,2,BTCUSD,60728.0,61500.0,58100.0,58884.7,1865.115686,-0.030823582109996812
1640000000000.0,2021-10-26 04:00:00,1,BTCUSD,62765.47,63102.8,59850.0,60728.0,1278.713199,-0.03300020477748864
1640000000000.0,2021-10-25 04:00:00,0,BTCUSD,62091.93,63703.3,61822.81,62765.47,1477.088886,0.010789052687796365
1640000000000.0,2021-10-24 04:00:00,6,BTCUSD,61226.0,62223.14,59505.0,62091.93,848.6999797,0.014044092902089675
1630000000000.0,2021-10-23 04:00:00,5,BTCUSD,61234.9,61743.51,59648.91,61226.0,543.6843493,-0.000145352516855148
1630000000000.0,2021-10-22 04:00:00,4,BTCUSD,63243.4,63745.62,60000.0,61234.9,1652.985291,-0.03227348591800486
1630000000000.0,2021-10-21 04:00:00,3,BTCUSD,65077.99,66643.14,61418.02,63243.4,2908.734738,-0.028595622472418168
1630000000000.0,2021-10-20 04:00:00,2,BTCUSD,63870.2,66994.72,63540.51,65077.99,2836.5884,0.01873349788017634
1630000000000.0,2021-10-19 04:00:00,1,BTCUSD,62600.0,64498.12,61312.0,63870.2,1914.147308,0.020087620823118393
1630000000000.0,2021-10-18 04:00:00,0,BTCUSD,62100.0,62973.38,59926.13,62600.0,2631.534652,0.008019289166619797
1630000000000.0,2021-10-17 04:00:00,6,BTCUSD,61144.42,62552.73,58937.03,62100.0,929.5099385,0.01550738199195652
1630000000000.0,2021-10-16 04:00:00,5,BTCUSD,61624.84,62366.08,60174.14,61144.42,864.5657209,-0.007826429063122505
1630000000000.0,2021-10-15 04:00:00,4,BTCUSD,59407.55,62898.0,58768.79,61624.84,3069.459601,0.03664371334197241
1630000000000.0,2021-10-14 04:00:00,3,BTCUSD,58073.82,59450.0,56807.96,59407.55,1166.894314,0.022706362772172927
1630000000000.0,2021-10-13 04:00:00,2,BTCUSD,56289.06,58500.02,54250.0,58073.82,1574.695193,0.03121475979605124
1630000000000.0,2021-10-12 04:00:00,1,BTCUSD,56710.0,57688.88,53911.79,56289.06,1713.917114,-0.007450361925534086
1630000000000.0,2021-10-11 04:00:00,0,BTCUSD,56520.58,58000.0,55838.77,56710.0,1027.906147,0.0033457424080513953
1630000000000.0,2021-10-10 04:00:00,6,BTCUSD,55043.76,56759.01,54376.52,56520.58,1166.244684,0.026476314372600413
1630000000000.0,2021-10-09 04:00:00,5,BTCUSD,54588.0,55486.87,54115.27,55043.76,707.7223449,0.008314426869417474
1630000000000.0,2021-10-08 04:00:00,4,BTCUSD,53826.69,56150.58,53655.0,54588.0,1485.778019,0.014044637569115373
1630000000000.0,2021-10-07 04:00:00,3,BTCUSD,54838.9,55231.53,53366.0,53826.69,1338.830408,-0.018630355334622033
1630000000000.0,2021-10-06 04:00:00,2,BTCUSD,51561.6,55800.0,50410.0,54838.9,3288.231083,0.06162258674426113
1630000000000.0,2021-10-05 04:00:00,1,BTCUSD,49320.94,51927.83,49108.3,51561.6,1691.523469,0.0444284720774029
1630000000000.0,2021-10-04 04:00:00,0,BTCUSD,47509.65,49789.33,46926.68,49320.94,1755.41301,0.037415889018148046
1630000000000.0,2021-10-03 04:00:00,6,BTCUSD,47899.79,49259.3,47372.35,47509.65,864.7954663,-0.008178271972085724
1630000000000.0,2021-10-02 04:00:00,5,BTCUSD,47555.51,48346.7,47144.0,47899.79,761.864461,0.007213459972454061
1630000000000.0,2021-10-01 04:00:00,4,BTCUSD,43628.16,48495.68,43472.59,47555.51,3254.016403,0.08619484687184244
1630000000000.0,2021-09-30 04:00:00,3,BTCUSD,43601.2,44097.7,42702.71,43628.16,1891.523643,0.0006181405173316789
1630000000000.0,2021-09-29 04:00:00,2,BTCUSD,42210.47,43726.63,40908.41,43601.2,1511.581965,0.0324163783774238
