Time,count_ID,favorite_AVG,quote_AVG,retweets_AVG,compound_AVG
10/7 20:20:00 ~ 10/7 20:29:59,648,44.56018519,1.2268518518518519,11.396604938271604,0.25051944444444435
10/7 20:30:00 ~ 10/7 20:39:59,759,3.105401845,0.08168642951251646,0.6521739130434783,0.2518252964426877
10/7 20:40:00 ~ 10/7 20:49:59,753,18.68525896,1.658698539176627,2.849933598937583,0.29281885790172635
10/7 20:50:00 ~ 10/7 20:59:59,739,16.82138024,1.3707713125845737,3.9539918809201624,0.2426815967523679
10/7 21:00:00 ~ 10/7 21:09:59,790,5.444303797,0.23544303797468355,0.7455696202531645,0.2596212658227849
10/7 21:10:00 ~ 10/7 21:19:59,770,21.25454545,0.23506493506493506,5.225974025974026,0.2670303896103898
10/7 21:20:00 ~ 10/7 21:29:59,713,22.19635344,0.3127629733520337,3.0280504908835906,0.2382082748948105
10/7 21:30:00 ~ 10/7 21:39:59,744,52.56451613,0.4852150537634409,3.928763440860215,0.19237795698924715
10/7 21:40:00 ~ 10/7 21:49:59,773,62.77878396,6.063389391979301,28.434670116429494,0.20630038809831816
10/7 21:50:00 ~ 10/7 21:59:59,740,58.4472973,2.1256756756756756,16.69864864864865,0.21977175675675692
10/7 22:00:00 ~ 10/7 22:09:59,777,17.16731017,0.6756756756756757,7.123552123552123,0.14942046332046308
10/7 22:10:00 ~ 10/7 22:19:59,750,16.17066667,0.19333333333333333,1.8826666666666667,0.17059759999999982
10/7 22:20:00 ~ 10/7 22:29:59,851,8.179788484,0.08225616921269095,1.5863689776733254,0.2524855464159804
10/7 22:30:00 ~ 10/7 22:39:59,796,18.73115578,0.5226130653266332,3.35929648241206,0.3079547738693466
10/7 22:40:00 ~ 10/7 22:49:59,670,7.973134328,0.21492537313432836,2.0761194029850745,0.2663502985074625
10/7 22:50:00 ~ 10/7 22:59:59,681,70.62114537,0.9030837004405287,10.732745961820852,0.2901960352422903
10/7 23:00:00 ~ 10/7 23:09:59,720,3.005555556,0.18055555555555555,0.9430555555555555,0.262599305555555
10/7 23:10:00 ~ 10/7 23:19:59,669,20.07025411,0.9282511210762332,7.5007473841554555,0.23067832585949188
10/7 23:20:00 ~ 10/7 23:29:59,533,16.96622889,0.4634146341463415,4.5159474671669795,0.23142926829268234
10/7 23:30:00 ~ 10/7 23:39:59,575,11.76173913,0.21739130434782608,2.1095652173913044,0.2276460869565214
10/7 23:40:00 ~ 10/7 23:49:59,622,24.94694534,0.5610932475884244,4.472668810289389,0.2536263665594852
10/7 23:50:00 ~ 10/7 23:59:59,522,3.425287356,0.028735632183908046,1.9674329501915708,0.22681590038314142
10/8 00:00:00 ~ 10/8 00:09:59,665,3.443609023,0.05112781954887218,0.6240601503759399,0.2410066165413531
10/8 00:10:00 ~ 10/8 00:19:59,491,16.63543788,1.1425661914460286,3.6619144602851326,0.2352162932790221
10/8 00:20:00 ~ 10/8 00:29:59,518,20.43822394,0.28185328185328185,4.044401544401544,0.24468571428571398
10/8 00:30:00 ~ 10/8 00:39:59,591,11.8680203,0.24534686971235195,1.742808798646362,0.2472607445008459
10/8 00:40:00 ~ 10/8 00:49:59,569,16.16871705,0.507908611599297,2.5448154657293496,0.27167469244288184
10/8 00:50:00 ~ 10/8 00:59:59,504,11.20634921,0.4722222222222222,7.615079365079365,0.24142083333333306
10/8 01:00:00 ~ 10/8 01:09:59,654,59.88990826,0.7293577981651376,12.510703363914374,0.2606851681957184
10/8 01:10:00 ~ 10/8 01:19:59,578,4.148788927,0.06747404844290658,0.8200692041522492,0.3495266435986158
10/8 01:20:00 ~ 10/8 01:29:59,577,9.563258232,0.10571923743500866,3.0866551126516466,0.25034263431542436
10/8 01:30:00 ~ 10/8 01:39:59,505,7.417821782,0.1900990099009901,1.8198019801980199,0.2402976237623762
10/8 01:40:00 ~ 10/8 01:49:59,472,3.091101695,0.10805084745762712,1.2478813559322033,0.29842394067796585
10/8 01:50:00 ~ 10/8 01:59:59,508,16.80511811,0.20866141732283464,2.877952755905512,0.2866354330708659
10/8 02:00:00 ~ 10/8 02:09:59,606,25.00825083,0.15346534653465346,6.069306930693069,0.288073432343234
10/8 02:10:00 ~ 10/8 02:19:59,580,4.351724138,0.07241379310344828,0.9793103448275862,0.31428293103448285
10/8 02:20:00 ~ 10/8 02:29:59,462,15.9004329,2.497835497835498,9.696969696969697,0.2830532467532465
10/8 02:30:00 ~ 10/8 02:39:59,524,12.94656489,1.2041984732824427,5.986641221374046,0.27689923664122135
10/8 02:40:00 ~ 10/8 02:49:59,569,32.60456942,0.632688927943761,4.135325131810193,0.30643110720562405
10/8 02:50:00 ~ 10/8 02:59:59,666,9.246246246,0.2747747747747748,3.9984984984984986,0.25133753753753757
10/8 03:00:00 ~ 10/8 03:09:59,710,6.429577465,0.5633802816901409,1.93943661971831,0.2276812676056338
10/8 03:10:00 ~ 10/8 03:19:59,581,7.239242685,0.1738382099827883,1.4664371772805507,0.28592065404475075
10/8 03:20:00 ~ 10/8 03:29:59,654,3.844036697,0.01529051987767584,0.6651376146788991,0.3228628440366973
10/8 03:30:00 ~ 10/8 03:39:59,692,6.426300578,0.16040462427745664,1.23121387283237,0.2657515895953761
10/8 03:40:00 ~ 10/8 03:49:59,654,3.568807339,0.0871559633027523,0.6941896024464832,0.25937446483180443
10/8 03:50:00 ~ 10/8 03:59:59,636,6.816037736,0.09748427672955975,1.4371069182389937,0.2841306603773585
10/8 04:00:00 ~ 10/8 04:09:59,666,4.181681682,0.1021021021021021,1.165165165165165,0.29364579579579614
10/8 04:10:00 ~ 10/8 04:19:59,603,1.247097844,0.024875621890547265,0.44776119402985076,0.3389555555555559
10/8 04:20:00 ~ 10/8 04:29:59,550,10.66181818,0.11454545454545455,1.3072727272727274,0.3239694545454544
10/8 04:30:00 ~ 10/8 04:39:59,599,38.59432387,27.29549248747913,23.953255425709514,0.2913836393989984
10/8 04:40:00 ~ 10/8 04:49:59,538,3.492565056,0.03345724907063197,0.9646840148698885,0.35221635687732356
10/8 04:50:00 ~ 10/8 04:59:59,518,7.689189189,0.1776061776061776,2.1254826254826256,0.3256540540540541
10/8 05:00:00 ~ 10/8 05:09:59,550,7.856363636,0.28,1.8472727272727272,0.31177036363636373
10/8 05:10:00 ~ 10/8 05:19:59,553,9.032549729,0.1518987341772152,1.6871609403254972,0.3588851717902352
10/8 05:20:00 ~ 10/8 05:29:59,501,6.51497006,0.2774451097804391,1.4151696606786428,0.306180638722555
10/8 05:30:00 ~ 10/8 05:39:59,585,2.58974359,0.1094017094017094,0.7948717948717948,0.29700700854700895
10/8 05:40:00 ~ 10/8 05:49:59,579,3.141623489,0.04835924006908463,0.7357512953367875,0.3048093264248708
